round,mask,mask_hex,enabled_bits,elapsed_ms,total_TFLOP_per_s,kernel_status,cuda_error,build_status,run_status,seconds,csv,binary,notes
round1,15,0x00f,qk_p1_wait_p0|qk_p0_wait_p1|pv_p1_wait_p0|pv_p0_wait_p1,5.596117,1571.821,ok,no error,ok,ok,4.719,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x00f.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_round1/mask_0x00f/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x00f
round1,14,0x00e,qk_p0_wait_p1|pv_p1_wait_p0|pv_p0_wait_p1,,,,,ok,timeout,183.738,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x00e.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_round1/mask_0x00e/attention_dep_sweep,
round1,13,0x00d,qk_p1_wait_p0|pv_p1_wait_p0|pv_p0_wait_p1,5.587264,1574.311,ok,no error,ok,ok,4.766,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x00d.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_round1/mask_0x00d/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x00d
round1,11,0x00b,qk_p1_wait_p0|qk_p0_wait_p1|pv_p0_wait_p1,5.698902,1543.472,ok,no error,ok,ok,4.826,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x00b.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_round1/mask_0x00b/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x00b
round1,7,0x007,qk_p1_wait_p0|qk_p0_wait_p1|pv_p1_wait_p0,5.799595,1516.674,ok,no error,ok,ok,4.811,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x007.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_round1/mask_0x007/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x007
round1,31,0x01f,qk_p1_wait_p0|qk_p0_wait_p1|pv_p1_wait_p0|pv_p0_wait_p1|vtma_wait_qk,5.636448,1560.574,ok,no error,ok,ok,4.643,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x01f.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_round1/mask_0x01f/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x01f
round1,47,0x02f,qk_p1_wait_p0|qk_p0_wait_p1|pv_p1_wait_p0|pv_p0_wait_p1|vtma_wait_k,,,,,ok,timeout,183.861,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x02f.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_round1/mask_0x02f/attention_dep_sweep,
round1,79,0x04f,qk_p1_wait_p0|qk_p0_wait_p1|pv_p1_wait_p0|pv_p0_wait_p1|sum_h0_wait_v,6.636533,1325.405,ok,no error,ok,ok,4.705,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x04f.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_round1/mask_0x04f/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x04f
round1,143,0x08f,qk_p1_wait_p0|qk_p0_wait_p1|pv_p1_wait_p0|pv_p0_wait_p1|sum_h1_wait_v,5.912587,1487.689,ok,no error,ok,ok,4.887,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x08f.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_round1/mask_0x08f/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x08f
round1,271,0x10f,qk_p1_wait_p0|qk_p0_wait_p1|pv_p1_wait_p0|pv_p0_wait_p1|next_ktma_wait_s1,7.892971,1114.421,ok,no error,ok,ok,4.800,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x10f.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_round1/mask_0x10f/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x10f
round1,527,0x20f,qk_p1_wait_p0|qk_p0_wait_p1|pv_p1_wait_p0|pv_p0_wait_p1|next_ktma_wait_pv,9.326603,943.119,ok,no error,ok,ok,5.276,/home/snu_avq1/workspace/chaewon/benchmark/0.attention/attention_dep_sweep_mask_0x20f.csv,/home/snu_avq1/workspace/chaewon/benchmark/build_attention_dep_sweep_round1/mask_0x20f/attention_dep_sweep,fixed_best_path_qk_contiguous_row_major_2d_sw128_tma_major_k_v_contiguous_k16_sw128_mn_major_dep_masked_split_s_ready_bf16_output_dep_sweep_mask_0x20f
